Cycle=2_Fc=2-1_X	Cycle=2_Fc=2-1_Y	Cycle=3_Fc=2-1_X	Cycle=3_Fc=2-1_Y	Cycle=4_Fc=2-1_X	Cycle=4_Fc=2-1_Y	Cycle=5_Fc=2-1_X	Cycle=5_Fc=2-1_Y	Cycle=6_Fc=2-1_X	Cycle=6_Fc=2-1_Y	Cycle=7_Fc=2-1_X	Cycle=7_Fc=2-1_Y	Cycle=8_Fc=2-1_X	Cycle=8_Fc=2-1_Y	Cycle=9_Fc=2-1_X	Cycle=9_Fc=2-1_Y	Cycle=10_Fc=2-1_X	Cycle=10_Fc=2-1_Y	Cycle=11_Fc=2-1_X	Cycle=11_Fc=2-1_Y	Cycle=12_Fc=2-1_X	Cycle=12_Fc=2-1_Y	Cycle=13_Fc=2-1_X	Cycle=13_Fc=2-1_Y	Cycle=14_Fc=2-1_X	Cycle=14_Fc=2-1_Y
6,6	-5,24219	6,6	-5,93164	6,6	-4,18164	6,6	-2,70313	6,6	-0,220703	6,6	0,417969	6,6	1,85938	6,6	2,44922	6,6	2,39844	6,6	2,91016	6,6	2,16992	6,6	3	6,6	3,04883
6,7	-5,24219	6,7	-5,94141	6,7	-4,17969	6,7	-2,71289	6,7	-0,21875	6,7	0,398438	6,7	1,85156	6,7	2,4707	6,7	2,39844	6,7	2,91016	6,7	2,15039	6,7	2,99023	6,7	3,05078
6,8	-5,24219	6,8	-5,95117	6,8	-4,16211	6,8	-2,74219	6,8	-0,230469	6,8	0,398438	6,8	1,85938	6,8	2,45117	6,8	2,37891	6,8	2,90039	6,8	2,14063	6,8	3	6,8	3,0293
6,9	-5,25	6,9	-5,92969	6,9	-4,12891	6,9	-2,73242	6,9	-0,267578	6,9	0,419922	6,9	1,85156	6,9	2,48242	6,9	2,39063	6,9	2,82227	6,9	2,14258	6,9	2,97266	6,9	3,04102
7	-5,20117	7	-5,92969	7	-4,13086	7	-2,73242	7	-0,228516	7	0,417969	7	1,89063	7	2,4707	7	2,37891	7	2,88086	7	2,13086	7	3,00195	7	3,06055
7,1	-5,20313	7,1	-5,92188	7,1	-4,13281	7,1	-2,74414	7,1	-0,230469	7,1	0,396484	7,1	1,88867	7,1	2,44922	7,1	2,37695	7,1	2,86914	7,1	2,10938	7,1	2,99023	7,1	3,05859
7,2	-5,20313	7,2	-5,92188	7,2	-4,13281	7,2	-2,75391	7,2	-0,25	7,2	0,40625	7,2	1,87891	7,2	2,43945	7,2	2,36719	7,2	2,87891	7,2	2,08984	7,2	2,99023	7,2	3,03906
7,3	-5,18164	7,3	-5,91016	7,3	-4,15234	7,3	-2,79297	7,3	-0,25	7,3	0,386719	7,3	1,88086	7,3	2,41016	7,3	2,35938	7,3	2,91992	7,3	2,06055	7,3	3	7,3	3,05078
7,4	-5,19141	7,4	-5,9082	7,4	-4,16016	7,4	-2,78125	7,4	-0,248047	7,4	0,398438	7,4	1,88086	7,4	2,41211	7,4	2,33984	7,4	2,91211	7,4	2,07227	7,4	2,99219	7,4	3,06055
7,5	-5,20117	7,5	-5,92969	7,5	-4,17969	7,5	-2,80273	7,5	-0,25	7,5	0,359375	7,5	1,86133	7,5	2,39063	7,5	2,30859	7,5	2,89063	7,5	2,05078	7,5	2,99023	7,5	3,04102
7,6	-5,22266	7,6	-5,91016	7,6	-4,15234	7,6	-2,75391	7,6	-0,220703	7,6	0,396484	7,6	1,85938	7,6	2,41016	7,6	2,31836	7,6	2,90039	7,6	2,08984	7,6	2,99023	7,6	3,0293
7,7	-5,21289	7,7	-5,88086	7,7	-4,07227	7,7	-2,74219	7,7	-0,169922	7,7	0,478516	7,7	1,87109	7,7	2,41016	7,7	2,32813	7,7	2,91992	7,7	2,09961	7,7	3,00977	7,7	3,05078
7,8	-5,21094	7,8	-5,86914	7,8	-4,01172	7,8	-2,71289	7,8	-0,150391	7,8	0,527344	7,8	1,87109	7,8	2,40039	7,8	2,34961	7,8	2,91992	7,8	2,13086	7,8	3,00977	7,8	3,06055
7,9	-5,21094	7,9	-5,84961	7,9	-4,02148	7,9	-2,67188	7,9	-0,119141	7,9	0,539063	7,9	1,86133	7,9	2,42188	7,9	2,33984	7,9	2,91992	7,9	2,15039	7,9	3,04102	7,9	3,05078
8	-5,20117	8	-5,81836	8	-4,02148	8	-2,63281	8	-0,0898438	8	0,539063	8	1,87109	8	2,44141	8	2,35938	8	2,91992	8	2,19141	8	3,08008	8	3,05078
8,1	-5,18359	8,1	-5,81055	8,1	-4,04297	8,1	-2,62305	8,1	-0,111328	8,1	0,527344	8,1	1,85938	8,1	2,41992	8,1	2,35742	8,1	2,94141	8,1	2,20898	8,1	3,08984	8,1	3,0293
8,2	-5,16211	8,2	-5,80078	8,2	-4,0625	8,2	-2,63281	8,2	-0,121094	8,2	0,529297	8,2	1,85938	8,2	2,41016	8,2	2,33789	8,2	2,95117	8,2	2,2207	8,2	3,10938	8,2	3,03906
8,3	-5,15234	8,3	-5,82031	8,3	-4,08203	8,3	-2,6543	8,3	-0,140625	8,3	0,5	8,3	1,86914	8,3	2,43945	8,3	2,34766	8,3	2,9707	8,3	2,19922	8,3	3,10938	8,3	3,04883
8,4	-5,13281	8,4	-5,83008	8,4	-4,07227	8,4	-2,63281	8,4	-0,140625	8,4	0,5	8,4	1,90039	8,4	2,45898	8,4	2,34766	8,4	3,00195	8,4	2,19922	8,4	3,10938	8,4	3,07031
8,5	-5,14258	8,5	-5,84961	8,5	-4,08203	8,5	-2,63281	8,5	-0,160156	8,5	0,490234	8,5	1,91992	8,5	2,45898	8,5	2,35742	8,5	3,01172	8,5	2,19922	8,5	3,08984	8,5	3,08008
8,6	-5,14258	8,6	-5,83984	8,6	-4,0918	8,6	-2,62305	8,6	-0,150391	8,6	0,490234	8,6	1,93945	8,6	2,4707	8,6	2,38867	8,6	3,02148	8,6	2,19922	8,6	3,08984	8,6	3,09961
8,7	-5,14258	8,7	-5,85938	8,7	-4,11133	8,7	-2,63281	8,7	-0,169922	8,7	0,480469	8,7	1,95117	8,7	2,48047	8,7	2,38867	8,7	3,01172	8,7	2,18945	8,7	3,07031	8,7	3,11133
8,8	-5,13281	8,8	-5,85938	8,8	-4,12109	8,8	-2,63281	8,8	-0,179688	8,8	0,480469	8,8	1,95117	8,8	2,48047	8,8	2,39844	8,8	3,01172	8,8	2,18945	8,8	3,07031	8,8	3,13281
8,9	-5,14063	8,9	-5,88086	8,9	-4,13086	8,9	-2,65234	8,9	-0,179688	8,9	0,470703	8,9	1,94141	8,9	2,4707	8,9	2,41016	8,9	2,99219	8,9	2,18945	8,9	3,06055	8,9	3,12305
9	-5,14258	9	-5,87305	9	-4,14258	9	-2,66406	9	-0,181641	9	0,46875	9	1,93945	9	2,45898	9	2,4082	9	2,99023	9	2,17773	9	3,04883	9	3,10938
9,1	-5,17188	9,1	-5,89258	9,1	-4,17188	9,1	-2,67188	9,1	-0,210938	9,1	0,447266	9,1	1,92969	9,1	2,43945	9,1	2,38867	9,1	2,9707	9,1	2,16797	9,1	3,0293	9,1	3,09961
9,2	-5,18164	9,2	-5,90234	9,2	-4,18164	9,2	-2,67188	9,2	-0,208984	9,2	0,4375	9,2	1,91992	9,2	2,43945	9,2	2,37891	9,2	2,9707	9,2	2,14844	9,2	3,01953	9,2	3,08984
9,3	-5,19141	9,3	-5,91211	9,3	-4,19336	9,3	-2,68164	9,3	-0,21875	9,3	0,417969	9,3	1,91016	9,3	2,43945	9,3	2,37891	9,3	2,96094	9,3	2,16016	9,3	3,00977	9,3	3,08008
9,4	-5,20117	9,4	-5,94141	9,4	-4,21289	9,4	-2,70117	9,4	-0,228516	9,4	0,408203	9,4	1,89063	9,4	2,42969	9,4	2,36914	9,4	2,93164	9,4	2,14063	9,4	3	9,4	3,06055
