Cycle=1_Fc=2-1_X	Cycle=1_Fc=2-1_Y	Cycle=2_Fc=2-1_X	Cycle=2_Fc=2-1_Y	Cycle=3_Fc=2-1_X	Cycle=3_Fc=2-1_Y	Cycle=4_Fc=2-1_X	Cycle=4_Fc=2-1_Y	Cycle=5_Fc=2-1_X	Cycle=5_Fc=2-1_Y	Cycle=6_Fc=2-1_X	Cycle=6_Fc=2-1_Y	Cycle=7_Fc=2-1_X	Cycle=7_Fc=2-1_Y	Cycle=8_Fc=2-1_X	Cycle=8_Fc=2-1_Y	Cycle=9_Fc=2-1_X	Cycle=9_Fc=2-1_Y	Cycle=10_Fc=2-1_X	Cycle=10_Fc=2-1_Y	Cycle=11_Fc=2-1_X	Cycle=11_Fc=2-1_Y	Cycle=12_Fc=2-1_X	Cycle=12_Fc=2-1_Y	Cycle=13_Fc=2-1_X	Cycle=13_Fc=2-1_Y	Cycle=14_Fc=2-1_X	Cycle=14_Fc=2-1_Y	Cycle=15_Fc=2-1_X	Cycle=15_Fc=2-1_Y	Cycle=16_Fc=2-1_X	Cycle=16_Fc=2-1_Y
4.3	0	4.3	16.3809	4.3	24.4395	4.3	27.0801	4.3	28.418	4.3	29.0293	4.3	30.2305	4.3	30.5039	4.3	31.0918	4.3	32.2324	4.3	33.7324	4.3	34.041	4.3	35.8594	4.3	36.7988	4.3	38.6387	4.3	40.0215
4.4	0	4.4	16.3906	4.4	24.4395	4.4	27.0801	4.4	28.418	4.4	29.0293	4.4	30.2402	4.4	30.4922	4.4	31.0918	4.4	32.2324	4.4	33.7324	4.4	34.0508	4.4	35.8594	4.4	36.7988	4.4	38.6289	4.4	40.0313
4.5	0	4.5	16.3984	4.5	24.4277	4.5	27.0879	4.5	28.4063	4.5	29.0176	4.5	30.2383	4.5	30.4902	4.5	31.0898	4.5	32.2305	4.5	33.7305	4.5	34.0488	4.5	35.8574	4.5	36.8066	4.5	38.6367	4.5	40.0195
4.6	0	4.6	16.3906	4.6	24.4395	4.6	27.0898	4.6	28.4082	4.6	29.0176	4.6	30.2305	4.6	30.502	4.6	31.0938	4.6	32.2324	4.6	33.7324	4.6	34.0508	4.6	35.8594	4.6	36.8086	4.6	38.6484	4.6	40.0313
4.7	0	4.7	16.4023	4.7	24.4395	4.7	27.1113	4.7	28.418	4.7	29.0273	4.7	30.25	4.7	30.5117	4.7	31.1035	4.7	32.2324	4.7	33.7324	4.7	34.0508	4.7	35.8691	4.7	36.8184	4.7	38.6582	4.7	40.0625
4.8	0	4.8	16.4082	4.8	24.4473	4.8	27.0977	4.8	28.4063	4.8	29.0254	4.8	30.2383	4.8	30.5098	4.8	31.1016	4.8	32.2207	4.8	33.7402	4.8	34.0488	4.8	35.8691	4.8	36.8164	4.8	38.668	4.8	40.0605
4.9	0	4.9	16.4395	4.9	24.459	4.9	27.1289	4.9	28.4375	4.9	29.0371	4.9	30.2695	4.9	30.5215	4.9	31.123	4.9	32.2402	4.9	33.75	4.9	34.0703	4.9	35.8809	4.9	36.8379	4.9	38.6992	4.9	40.082
5	0	5	16.4395	5	24.4512	5	27.1289	5	28.418	5	29.0273	5	30.2617	5	30.5117	5	31.1113	5	32.2422	5	33.7305	5	34.0703	5	35.8613	5	36.8281	5	38.6895	5	40.082
5.1	0	5.1	16.4004	5.1	24.4121	5.1	27.0898	5.1	28.4004	5.1	28.9688	5.1	30.2324	5.1	30.4727	5.1	31.0625	5.1	32.2129	5.1	33.7012	5.1	34.0215	5.1	35.8125	5.1	36.7988	5.1	38.6406	5.1	40.043
5.2	0	5.2	16.4004	5.2	24.4004	5.2	27.0977	5.2	28.418	5.2	29.0156	5.2	30.2402	5.2	30.4805	5.2	31.0801	5.2	32.1914	5.2	33.7402	5.2	34.0195	5.2	35.8105	5.2	36.8574	5.2	38.6484	5.2	40.041
