Cycle: 18  gp33 Y4F  98 nM_X	Cycle: 18  gp33 Y4F  98 nM_Y	Cycle: 19  gp33 Y4F  195 nM_X	Cycle: 19  gp33 Y4F  195 nM_Y	Cycle: 20  gp33 Y4F  390 nM_X	Cycle: 20  gp33 Y4F  390 nM_Y	Cycle: 21  gp33 Y4F  390 nM_X	Cycle: 21  gp33 Y4F  390 nM_Y	Cycle: 22  gp33 Y4F  780 nM_X	Cycle: 22  gp33 Y4F  780 nM_Y	Cycle: 23  gp33 Y4F  1560 nM_X	Cycle: 23  gp33 Y4F  1560 nM_Y	Cycle: 24  gp33 Y4F  3125 nM_X	Cycle: 24  gp33 Y4F  3125 nM_Y	Cycle: 25  gp33 Y4F  3125 nM_X	Cycle: 25  gp33 Y4F  3125 nM_Y	Cycle: 26  gp33 Y4F  6250 nM_X	Cycle: 26  gp33 Y4F  6250 nM_Y	Cycle: 27  gp33 Y4F  12500 nM_X	Cycle: 27  gp33 Y4F  12500 nM_Y	Cycle: 28  gp33 Y4F  25000 nM_X	Cycle: 28  gp33 Y4F  25000 nM_Y	Cycle: 29  gp33 Y4F  25000 nM_X	Cycle: 29  gp33 Y4F  25000 nM_Y	Cycle: 30  gp33 Y4F  50000 nM_X	Cycle: 30  gp33 Y4F  50000 nM_Y	Cycle: 31  gp33 Y4F  100000 nM_X	Cycle: 31  gp33 Y4F  100000 nM_Y
-56,46	0,455276	-56,36	0,337949	-56,46	0,131699	-56,36	0,150266	-56,46	0,109634	-56,36	0,0435152	-56,36	0,0332918	-56,36	-0,0637846	-56,36	-0,0370817	-56,36	-0,0492887	-56,46	-0,166946	-56,36	-0,208163	-56,46	-0,341019	-56,46	-0,297531
-56,36	0,444547	-56,26	0,352582	-56,3599	0,130722	-56,2599	0,14537	-56,36	0,0774202	-56,26	0,0796325	-56,26	0,0479248	-56,26	-0,0491517	-56,2599	-0,0322113	-56,2599	-0,0424652	-56,36	-0,199161	-56,26	-0,19353	-56,36	-0,351748	-56,36	-0,318027
-56,2599	0,449417	-56,16	0,354538	-56,2599	0,127792	-56,16	0,135605	-56,2599	0,103775	-56,16	0,0991669	-56,16	0,0479279	-56,16	-0,0589142	-56,16	-0,0419769	-56,16	-0,0522308	-56,2599	-0,172806	-56,16	-0,205246	-56,2599	-0,335159	-56,2599	-0,313156
-56,16	0,449417	-56,06	0,359424	-56,16	0,127792	-56,06	0,120959	-56,16	0,0940094	-56,06	0,06499	-56,06	0,0332823	-56,06	-0,0540285	-56,06	-0,0370913	-56,06	-0,0473452	-56,16	-0,172806	-56,06	-0,188642	-56,16	-0,315628	-56,16	-0,313156
-56,0599	0,444534	-55,96	0,316471	-56,0599	0,132675	-55,96	0,0897064	-56,0599	0,108658	-55,96	0,0435028	-55,96	2,04849e-3	-55,96	-0,0755157	-55,96	-0,0566254	-55,96	-0,0883636	-56,0599	-0,158157	-55,96	-0,190598	-56,0599	-0,308792	-56,0599	-0,318039
-55,96	0,421097	-55,86	0,325241	-55,96	0,111191	-55,86	0,0945895	-55,96	0,0871735	-55,86	0,0288546	-55,86	0,0166781	-55,86	-0,0706327	-55,86	-0,0615079	-55,86	-0,073715	-55,96	-0,169876	-55,86	-0,205246	-55,96	-0,33223	-55,96	-0,349289
-55,86	0,427933	-55,76	0,320367	-55,8599	0,0965395	-55,7599	0,0799408	-55,86	0,0822909	-55,76	0,014215	-55,76	2,03848e-3	-55,76	-0,0540223	-55,7599	-0,066391	-55,7599	-0,078598	-55,86	-0,184524	-55,76	-0,21012	-55,86	-0,337112	-55,86	-0,363937
-55,7599	0,401566	-55,66	0,344772	-55,7599	0,111191	-55,66	0,075058	-55,7599	0,0676422	-55,66	0,0190887	-55,66	-2,85339e-3	-55,66	-0,0686798	-55,66	-0,0615082	-55,66	-0,0932465	-55,7599	-0,169876	-55,66	-0,244308	-55,7599	-0,340042	-55,7599	-0,359055
-55,66	0,418167	-55,56	0,330133	-55,66	0,0965424	-55,56	0,0799496	-55,66	0,072525	-55,56	0,0142148	-55,56	-7,72738e-3	-55,56	-0,0618351	-55,56	-0,0663822	-55,56	-0,0883548	-55,66	-0,155228	-55,56	-0,249182	-55,66	-0,344925	-55,66	-0,393234
-55,5599	0,383987	-55,46	-0,0925853	-55,5599	0,0818939	-55,46	-0,342514	-55,5599	-0,769455	-55,46	-0,414108	-55,46	-0,407008	-55,46	0,374283	-55,46	0,379501	-55,46	-0,548721	-55,5599	-0,150345	-55,46	-0,63063	-55,5599	-1,21425	-55,5599	-1,21178
