Cycle=1_Fc=2-1_X	Cycle=1_Fc=2-1_Y	Cycle=2_Fc=2-1_X	Cycle=2_Fc=2-1_Y	Cycle=3_Fc=2-1_X	Cycle=3_Fc=2-1_Y	Cycle=4_Fc=2-1_X	Cycle=4_Fc=2-1_Y	Cycle=5_Fc=2-1_X	Cycle=5_Fc=2-1_Y	Cycle=6_Fc=2-1_X	Cycle=6_Fc=2-1_Y	Cycle=7_Fc=2-1_X	Cycle=7_Fc=2-1_Y	Cycle=8_Fc=2-1_X	Cycle=8_Fc=2-1_Y	Cycle=9_Fc=2-1_X	Cycle=9_Fc=2-1_Y	Cycle=10_Fc=2-1_X	Cycle=10_Fc=2-1_Y	Cycle=11_Fc=2-1_X	Cycle=11_Fc=2-1_Y	Cycle=12_Fc=2-1_X	Cycle=12_Fc=2-1_Y	Cycle=13_Fc=2-1_X	Cycle=13_Fc=2-1_Y	Cycle=14_Fc=2-1_X	Cycle=14_Fc=2-1_Y	Cycle=15_Fc=2-1_X	Cycle=15_Fc=2-1_Y	Cycle=16_Fc=2-1_X	Cycle=16_Fc=2-1_Y
6.2	0	6.2	14.5703	6.2	21.4902	6.2	24.7793	6.2	27.9785	6.2	30.0684	6.2	31.9707	6.2	32.5	6.2	34.3086	6.2	37.0195	6.2	37.2695	6.2	40.8809	6.2	43.4902	6.2	44.1582	6.2	45.6094	6.2	47.1797
6.3	0	6.3	14.332	6.3	21.1816	6.3	24.7813	6.3	27.5801	6.3	29.7012	6.3	32.0313	6.3	32.082	6.3	34.2813	6.3	36.7012	6.3	37.2598	6.3	40.9219	6.3	43.2031	6.3	43.8613	6.3	45.6016	6.3	46.8223
6.4	0	6.4	14.2891	6.4	20.8594	6.4	24.8008	6.4	27.8984	6.4	30.0488	6.4	32.2285	6.4	32.6289	6.4	34.3379	6.4	36.3301	6.4	37.3887	6.4	41.0801	6.4	42.9414	6.4	43.4492	6.4	45.6387	6.4	46.2402
6.5	0	6.5	14.252	6.5	21.4414	6.5	24.6719	6.5	27.6797	6.5	29.8398	6.5	32.002	6.5	32.3203	6.5	34.1602	6.5	37.5605	6.5	36.9805	6.5	40.8008	6.5	43.6816	6.5	44.6211	6.5	45.3809	6.5	48.0313
6.6	0	6.6	14.3105	6.6	21.4414	6.6	24.8105	6.6	27.959	6.6	29.8594	6.6	32.1895	6.6	32.5605	6.6	34.1992	6.6	36.9199	6.6	37.2188	6.6	40.9492	6.6	43.3809	6.6	44.0605	6.6	45.5586	6.6	47.1016
6.7	0	6.7	14.0313	6.7	21.4102	6.7	24.6328	6.7	27.7188	6.7	29.459	6.7	31.9512	6.7	32.1504	6.7	33.9785	6.7	37.1719	6.7	37.041	6.7	40.7207	6.7	43.5918	6.7	44.2207	6.7	45.3691	6.7	47.3418
6.8	0	6.8	13.9902	6.8	21.209	6.8	24.4902	6.8	27.5488	6.8	29.6387	6.8	31.7793	6.8	32.1094	6.8	34.0273	6.8	36.9395	6.8	36.9492	6.8	40.6582	6.8	43.1504	6.8	43.9785	6.8	45.2578	6.8	47.332
6.9	0	6.9	14.0703	6.9	20.9297	6.9	24.4512	6.9	27.4902	6.9	29.7891	6.9	31.6797	6.9	32.1699	6.9	33.8789	6.9	36.5898	6.9	36.8086	6.9	40.5781	6.9	43.0801	6.9	43.7383	6.9	45.3477	6.9	46.7109
7	0	7	14.0313	7	20.8613	7	24.4707	7	27.5098	7	29.6484	7	31.6602	7	32.1895	7	33.918	7	36.5215	7	36.8691	7	40.5098	7	43.0117	7	43.7188	7	45.2188	7	46.6621
7.1	0	7.1	14.0684	7.1	20.9707	7.1	24.459	7.1	27.5078	7.1	29.668	7.1	31.6172	7.1	32.209	7.1	34.0371	7.1	36.5898	7.1	36.9277	7.1	40.418	7.1	42.9082	7.1	43.7168	7.1	45.207	7.1	46.7305
7.2	0	7.2	13.8906	7.2	20.791	7.2	24.4805	7.2	27.5	7.2	29.6484	7.2	31.6992	7.2	32.0703	7.2	33.9785	7.2	36.291	7.2	36.791	7.2	40.4785	7.2	42.9609	7.2	43.4395	7.2	45.1484	7.2	46.5117
7.3	0	7.3	14.0098	7.3	20.9707	7.3	24.3398	7.3	27.6191	7.3	29.8184	7.3	31.6602	7.3	32.3301	7.3	34.0176	7.3	36.5117	7.3	36.8711	7.3	40.5605	7.3	43.0898	7.3	43.6797	7.3	45.3984	7.3	46.6719
7.4	0	7.4	14.0371	7.4	20.4902	7.4	24.3594	7.4	27.5371	7.4	29.707	7.4	31.7188	7.4	32.2402	7.4	34.0469	7.4	36.0293	7.4	36.8496	7.4	40.5586	7.4	42.6406	7.4	43.2969	7.4	45.0957	7.4	46.2305
7.5	0	7.5	14.1094	7.5	20.9414	7.5	24.5195	7.5	27.6484	7.5	29.7402	7.5	31.8008	7.5	32.25	7.5	34.0371	7.5	36.4219	7.5	37	7.5	40.5801	7.5	42.9922	7.5	43.9082	7.5	45.2891	7.5	46.7617
7.6	0	7.6	14.0586	7.6	21.0098	7.6	24.5605	7.6	27.6992	7.6	29.7188	7.6	31.7793	7.6	32.2305	7.6	34.0176	7.6	36.6211	7.6	37	7.6	40.6094	7.6	43.1309	7.6	43.8984	7.6	45.3398	7.6	46.8496
7.7	0	7.7	14.0703	7.7	21.0215	7.7	24.582	7.7	27.6895	7.7	29.7109	7.7	31.791	7.7	32.2617	7.7	34.0684	7.7	36.6719	7.7	37.002	7.7	40.6113	7.7	43.2422	7.7	43.9102	7.7	45.3516	7.7	46.9023
7.8	0	7.8	14.1504	7.8	21.0195	7.8	24.582	7.8	27.6777	7.8	29.7383	7.8	31.8203	7.8	32.3301	7.8	34.0664	7.8	36.6699	7.8	37.0293	7.8	40.6484	7.8	43.1914	7.8	43.8691	7.8	45.3691	7.8	46.8691
7.9	0	7.9	14.1602	7.9	21.0508	7.9	24.6016	7.9	27.6973	7.9	29.7695	7.9	31.8594	7.9	32.3301	7.9	34.0762	7.9	36.6797	7.9	37.0391	7.9	40.6699	7.9	43.1699	7.9	43.8281	7.9	45.3789	7.9	46.7988
8	0	8	14.1816	8	21.1016	8	24.6426	8	27.7188	8	29.7793	8	31.8711	8	32.3496	8	34.1289	8	36.7813	8	37.0508	8	40.6895	8	43.291	8	43.9297	8	45.4004	8	46.9316
8.1	0	8.1	14.1699	8.1	21.0801	8.1	24.6406	8.1	27.7188	8.1	29.7695	8.1	31.8496	8.1	32.3496	8.1	34.1289	8.1	36.7813	8.1	37.0605	8.1	40.6992	8.1	43.2715	8.1	43.9199	8.1	45.4102	8.1	46.9414
8.2	0	8.2	14.1602	8.2	21.0703	8.2	24.6309	8.2	27.7207	8.2	29.7793	8.2	31.8398	8.2	32.3398	8.2	34.1387	8.2	36.7695	8.2	37.0684	8.2	40.6992	8.2	43.25	8.2	43.9004	8.2	45.3984	8.2	46.9316
8.3	0	8.3	14.1895	8.3	21.0918	8.3	24.6309	8.3	27.7402	8.3	29.7891	8.3	31.8398	8.3	32.3711	8.3	34.1387	8.3	36.791	8.3	37.0879	8.3	40.709	8.3	43.25	8.3	43.9199	8.3	45.4082	8.3	46.9414
8.4	0	8.4	14.1895	8.4	21.1016	8.4	24.6211	8.4	27.7383	8.4	29.7891	8.4	31.8301	8.4	32.3594	8.4	34.1484	8.4	36.7813	8.4	37.0684	8.4	40.709	8.4	43.2402	8.4	43.9082	8.4	45.4082	8.4	46.9316
8.5	0	8.5	14.2109	8.5	21.1211	8.5	24.6406	8.5	27.7402	8.5	29.8184	8.5	31.8418	8.5	32.3613	8.5	34.1797	8.5	36.793	8.5	37.082	8.5	40.752	8.5	43.252	8.5	43.9199	8.5	45.4199	8.5	46.9434
8.6	0	8.6	14.1895	8.6	21.1113	8.6	24.6211	8.6	27.7305	8.6	29.8105	8.6	31.8398	8.6	32.3613	8.6	34.1602	8.6	36.7832	8.6	37.082	8.6	40.7305	8.6	43.2402	8.6	43.9102	8.6	45.4082	8.6	46.9219
