Cycle: 15  SMARTA2-9V  195 nM_X	Cycle: 15  SMARTA2-9V  195 nM_Y	Cycle: 16  SMARTA2-9V  390 nM_X	Cycle: 16  SMARTA2-9V  390 nM_Y	Cycle: 17  SMARTA2-9V  780 nM_X	Cycle: 17  SMARTA2-9V  780 nM_Y	Cycle: 18  SMARTA2-9V  1560 nM_X	Cycle: 18  SMARTA2-9V  1560 nM_Y	Cycle: 19  SMARTA2-9V  3125 nM_X	Cycle: 19  SMARTA2-9V  3125 nM_Y	Cycle: 20  SMARTA2-9V  6250 nM_X	Cycle: 20  SMARTA2-9V  6250 nM_Y	Cycle: 21  SMARTA2-9V  12500 nM_X	Cycle: 21  SMARTA2-9V  12500 nM_Y	Cycle: 22  SMARTA2-9V  25000 nM_X	Cycle: 22  SMARTA2-9V  25000 nM_Y	Cycle: 23  SMARTA2-9V  50000 nM_X	Cycle: 23  SMARTA2-9V  50000 nM_Y	Cycle: 24  SMARTA2-9V  100000 nM_X	Cycle: 24  SMARTA2-9V  100000 nM_Y
-51,76	0,0462036	-51,76	0,0534058	-51,76	0,140808	-51,76	0,110657	-51,7599	0,049202	-51,76	-0,212952	-51,76	-0,282654	-51,7599	-0,251152	-51,76	-0,301208	-51,76	-0,245544
-51,66	0,0618286	-51,66	0,0553589	-51,66	0,134949	-51,66	0,0930786	-51,66	0,0510864	-51,66	-0,220764	-51,66	-0,28772	-51,66	-0,251221	-51,66	-0,299255	-51,66	-0,244751
-51,56	0,0637817	-51,56	0,0475464	-51,56	0,125183	-51,56	0,0950317	-51,5599	0,0394516	-51,56	-0,234436	-51,56	-0,292419	-51,5599	-0,247231	-51,56	-0,301208	-51,56	-0,253357
-51,46	0,0911903	-51,46	0,0748901	-51,46	0,135014	-51,46	0,128235	-51,46	0,055851	-51,46	-0,207092	-51,46	-0,266964	-51,46	-0,219112	-51,46	-0,279659	-51,46	-0,233826
-51,36	0,0891724	-51,36	0,072937	-51,36	0,134949	-51,36	0,120422	-51,36	0,0569458	-51,36	-0,232483	-51,36	-0,270935	-51,3599	-0,24334	-51,36	-0,266052	-51,36	-0,22406
-51,26	0,0715942	-51,26	0,0709839	-51,26	0,131042	-51,26	0,132935	-51,2599	0,0433502	-51,26	-0,23053	-51,26	-0,265076	-51,2599	-0,237473	-51,26	-0,28949	-51,26	-0,222107
-51,16	0,0891724	-51,16	0,088562	-51,16	0,134949	-51,16	0,132141	-51,16	0,0628052	-51,16	-0,238342	-51,16	-0,253357	-51,16	-0,235596	-51,16	-0,277771	-51,16	-0,220154
-51,06	0,0715942	-51,06	0,0799561	-51,06	0,116577	-51,06	0,104004	-51,0599	0,032795	-51,06	-0,250854	-51,06	-0,275635	-51,0599	-0,242168	-51,06	-0,284424	-51,06	-0,232666
-50,96	0,100956	-50,96	0,10614	-50,96	0,146732	-50,96	0,141907	-50,96	0,0745888	-50,96	-0,244202	-50,96	-0,255245	-50,96	-0,227718	-50,96	-0,277706	-50,96	-0,202576
-50,86	0,0911255	-50,86	0,104187	-50,86	0,144714	-50,86	0,132141	-50,86	0,0784302	-50,86	-0,242249	-50,86	-0,251404	-50,8599	-0,219891	-50,86	-0,275818	-50,86	-0,194763
-50,76	0,110657	-50,76	0,117859	-50,76	0,148621	-50,76	0,147766	-50,7599	0,0902176	-50,76	-0,248108	-50,76	-0,249451	-50,7599	-0,200371	-50,76	-0,271118	-50,76	-0,200623
-50,66	0,114563	-50,66	0,108887	-50,66	0,139648	-50,66	0,145813	-50,66	0,105774	-50,66	-0,257874	-50,66	-0,237732	-50,66	-0,196533	-50,66	-0,269958	-50,66	-0,220154
-50,56	0,110657	-50,56	0,117859	-50,56	0,158386	-50,56	0,165344	-50,5599	0,123425	-50,56	-0,234436	-50,56	-0,213501	-50,5599	-0,190601	-50,56	-0,242615	-50,56	-0,206482
-50,46	0,110729	-50,46	0,125671	-50,46	0,166271	-50,46	0,173157	-50,46	0,122265	-50,46	-0,232483	-50,46	-0,184925	-50,46	-0,180836	-50,46	-0,230824	-50,46	-0,203735
-50,36	0,120422	-50,36	0,113953	-50,36	0,195496	-50,36	0,171204	-50,36	0,142883	-50,36	-0,242249	-50,36	-0,186951	-50,3599	-0,17498	-50,36	-0,215271	-50,36	-0,194763
-50,26	0,120422	-50,26	0,123718	-50,26	0,191589	-50,26	0,165344	-50,2599	0,148815	-50,26	-0,247314	-50,26	-0,184998	-50,2599	-0,168324	-50,26	-0,228943	-50,26	-0,198669
-50,16	0,141113	-50,16	0,124878	-50,16	0,206421	-50,16	0,173157	-50,16	0,138184	-50,16	-0,225464	-50,16	-0,179932	-50,16	-0,158264	-50,16	-0,229736	-50,16	-0,187744
-50,06	0,103638	-50,06	0,0737305	-50,06	0,170105	-50,06	0,153625	-50,0599	0,11171	-50,06	-0,257874	-50,06	-0,216248	-50,0599	-0,192551	-50,06	-0,254333	-50,06	-0,233826
-49,96	0,114635	-49,96	0,0748901	-49,96	0,154552	-49,96	0,139954	-49,96	0,142956	-49,96	-0,246155	-49,96	-0,20171	-49,96	-0,215992	-49,96	-0,26012	-49,96	-0,241638
-49,86	0,120422	-49,86	0,0709839	-49,86	0,148621	-49,86	0,138	-49,86	0,131165	-49,86	-0,232483	-49,86	-0,179138	-49,8599	-0,198406	-49,86	-0,247681	-49,86	-0,243591
-49,76	0,126282	-49,76	0,0787964	-49,76	0,174011	-49,76	0,141907	-49,7599	0,151558	-49,76	-0,228577	-49,76	-0,177185	-49,7599	-0,190605	-49,76	-0,225037	-49,76	-0,226013
-49,66	0,120422	-49,66	0,0905151	-49,66	0,179871	-49,66	0,128235	-49,66	0,162415	-49,66	-0,228577	-49,66	-0,175232	-49,66	-0,178955	-49,66	-0,215271	-49,66	-0,213501
-49,56	0,116516	-49,56	0,0846558	-49,56	0,174805	-49,56	0,132141	-49,5599	0,166382	-49,56	-0,232483	-49,56	-0,177185	-49,5599	-0,174194	-49,56	-0,22113	-49,56	-0,200623
-49,46	0,100948	-49,46	0,088562	-49,46	0,154537	-49,46	0,120422	-49,46	0,160519	-49,46	-0,252014	-49,46	-0,196659	-49,46	-0,145695	-49,46	-0,234745	-49,46	-0,214294
-49,36	0,0922852	-49,36	0,0807495	-49,36	0,14978	-49,36	0,124329	-49,36	0,151855	-49,36	-0,248108	-49,36	-0,236572	-49,3599	-0,169937	-49,36	-0,244568	-49,36	-0,211182
-49,26	0,0743408	-49,26	0,0690308	-49,26	0,149414	-49,26	0,10675	-49,2599	0,128124	-49,26	-0,253967	-49,26	-0,260376	-49,2599	-0,223804	-49,26	-0,279724	-49,26	-0,229126
-49,16	0,0813599	-49,16	0,0905151	-49,16	0,18573	-49,16	0,124329	-49,16	0,152649	-49,16	-0,242249	-49,16	-0,229919	-49,16	-0,237549	-49,16	-0,273865	-49,16	-0,196716
-49,06	0,0911255	-49,06	0,0944214	-49,06	0,177917	-49,06	0,122375	-49,0599	0,172268	-49,06	-0,243408	-49,06	-0,226013	-49,0599	-0,211277	-49,06	-0,269958	-49,06	-0,204529
