Cycle: 15  SMARTA2-9V  98 nM_X	Cycle: 15  SMARTA2-9V  98 nM_Y	Cycle: 16  SMARTA2-9V  195 nM_X	Cycle: 16  SMARTA2-9V  195 nM_Y	Cycle: 17  SMARTA2-9V  390 nM_X	Cycle: 17  SMARTA2-9V  390 nM_Y	Cycle: 18  SMARTA2-9V  780 nM_X	Cycle: 18  SMARTA2-9V  780 nM_Y	Cycle: 19  SMARTA2-9V  1560 nM_X	Cycle: 19  SMARTA2-9V  1560 nM_Y	Cycle: 20  SMARTA2-9V  3125 nM_X	Cycle: 20  SMARTA2-9V  3125 nM_Y	Cycle: 21  SMARTA2-9V  6250 nM_X	Cycle: 21  SMARTA2-9V  6250 nM_Y	Cycle: 22  SMARTA2-9V  12500 nM_X	Cycle: 22  SMARTA2-9V  12500 nM_Y	Cycle: 23  SMARTA2-9V  25000 nM_X	Cycle: 23  SMARTA2-9V  25000 nM_Y	Cycle: 24  SMARTA2-9V  50000 nM_X	Cycle: 24  SMARTA2-9V  50000 nM_Y	Cycle: 25  SMARTA2-9V  100000 nM_X	Cycle: 25  SMARTA2-9V  100000 nM_Y
-53,96	0,203369	-54,0599	0,457153	-54,0599	0,266602	-54,0599	0,249023	-53,96	0,145264	-54,0599	0,0756226	-54,0599	-0,109863	-53,96	-0,312458	-54,0599	-0,441101	-54,0599	-0,612854	-53,96	-0,793903
-53,86	0,182678	-53,96	0,430969	-53,96	0,262695	-53,96	0,24823	-53,86	0,173401	-53,96	0,0725098	-53,96	-0,128235	-53,86	-0,345947	-53,96	-0,448914	-53,96	-0,610107	-53,86	-0,807495
-53,76	0,207188	-53,86	0,395447	-53,86	0,277161	-53,8599	0,222561	-53,7599	0,186279	-53,8599	0,0558128	-53,86	-0,13446	-53,76	-0,337063	-53,8599	-0,47031	-53,8599	-0,624851	-53,76	-0,834927
-53,66	0,232666	-53,7599	0,399719	-53,7599	0,329102	-53,7599	0,272461	-53,66	0,21167	-53,7599	0,0842285	-53,7599	-0,109863	-53,66	-0,319397	-53,7599	-0,472351	-53,7599	-0,594482	-53,66	-0,834839
-53,56	0,241192	-53,66	0,379028	-53,66	0,354492	-53,66	0,301758	-53,56	0,21043	-53,66	0,115479	-53,66	-0,0844727	-53,56	-0,289387	-53,66	-0,460632	-53,66	-0,58551	-53,56	-0,822407
-53,46	0,250244	-53,5599	0,381775	-53,5599	0,370911	-53,5599	0,306458	-53,46	0,217529	-53,5599	0,135803	-53,5599	-0,0836792	-53,46	-0,280411	-53,5599	-0,452026	-53,5599	-0,564392	-53,46	-0,803665
-53,36	0,218994	-53,46	0,379028	-53,46	0,375977	-53,46	0,319336	-53,36	0,217529	-53,46	0,133057	-53,46	-0,102051	-53,36	-0,270569	-53,46	-0,441101	-53,46	-0,55542	-53,36	-0,807495
-53,26	0,242359	-53,36	0,380981	-53,36	0,354492	-53,3599	0,323315	-53,2599	0,237061	-53,3599	0,117504	-53,36	-0,0922852	-53,26	-0,272594	-53,3599	-0,46056	-53,3599	-0,545582	-53,26	-0,793896
-53,16	0,238525	-53,2599	0,382935	-53,2599	0,374023	-53,2599	0,323242	-53,16	0,240967	-53,2599	0,115479	-53,2599	-0,090332	-53,16	-0,272522	-53,2599	-0,460632	-53,2599	-0,547607	-53,16	-0,772339
-53,06	0,234547	-53,16	0,3927	-53,16	0,387695	-53,16	0,336914	-53,06	0,242847	-53,16	0,113525	-53,16	-0,0649414	-53,06	-0,262829	-53,16	-0,476257	-53,16	-0,553467	-53,06	-0,745068
