Cycle: 3  SMARTA2-9C  98 nM_X	Cycle: 3  SMARTA2-9C  98 nM_Y	Cycle: 4  SMARTA2-9C  195 nM_X	Cycle: 4  SMARTA2-9C  195 nM_Y	Cycle: 5  SMARTA2-9C  390 nM_X	Cycle: 5  SMARTA2-9C  390 nM_Y	Cycle: 6  SMARTA2-9C  780 nM_X	Cycle: 6  SMARTA2-9C  780 nM_Y	Cycle: 7  SMARTA2-9C  1560 nM_X	Cycle: 7  SMARTA2-9C  1560 nM_Y	Cycle: 8  SMARTA2-9C  3125 nM_X	Cycle: 8  SMARTA2-9C  3125 nM_Y	Cycle: 9  SMARTA2-9C  6250 nM_X	Cycle: 9  SMARTA2-9C  6250 nM_Y	Cycle: 10  SMARTA2-9C  12500 nM_X	Cycle: 10  SMARTA2-9C  12500 nM_Y	Cycle: 11  SMARTA2-9C  25000 nM_X	Cycle: 11  SMARTA2-9C  25000 nM_Y	Cycle: 12  SMARTA2-9C  50000 nM_X	Cycle: 12  SMARTA2-9C  50000 nM_Y	Cycle: 13  SMARTA2-9C  100000 nM_X	Cycle: 13  SMARTA2-9C  100000 nM_Y
-53,0599	-0,135311	-53,06	0,0390549	-53,0599	-0,0930748	-53,0599	-0,024044	-53,06	-2,2049e-3	-53,0599	-0,10107	-53,0599	-0,305721	-53,06	-0,405647	-53,06	-0,607124	-53,06	-0,826668	-53,06	-1,10517
-52,96	-0,109924	-52,96	0,0344238	-52,96	-0,104797	-52,96	-0,0123291	-52,96	-0,0177612	-52,96	-0,0913086	-52,96	-0,284241	-52,96	-0,406738	-52,96	-0,591499	-52,96	-0,810974	-52,96	-1,07978
-52,86	-0,114296	-52,86	0,0238266	-52,86	-0,101357	-52,86	-8,88824e-3	-52,86	-0,0291519	-52,86	-0,0898209	-52,8599	-0,274868	-52,86	-0,406044	-52,86	-0,595802	-52,86	-0,823158	-52,86	-1,07236
-52,7599	-0,0942955	-52,7599	0,0410805	-52,7599	-0,0930748	-52,7599	0,0169716	-52,76	-0,0236855	-52,7599	-0,0600548	-52,7599	-0,264706	-52,76	-0,397831	-52,76	-0,589542	-52,7599	-0,809017	-52,76	-1,05634
-52,66	-0,0859375	-52,66	0,0377197	-52,66	-0,0905762	-52,66	3,84521e-3	-52,66	-0,0308838	-52,66	-0,0536499	-52,66	-0,273926	-52,66	-0,405029	-52,66	-0,604553	-52,66	-0,811584	-52,66	-1,04205
-52,5599	-0,0749512	-52,56	0,0400314	-52,5599	-0,0706177	-52,5599	6,22559e-3	-52,56	-0,0441971	-52,5599	-0,0297852	-52,5599	-0,281311	-52,56	-0,404671	-52,56	-0,590523	-52,56	-0,808113	-52,56	-1,04365
-52,46	-0,0728111	-52,46	0,0254555	-52,46	-0,0930748	-52,46	0,0130653	-52,46	-0,0576134	-52,46	-0,032711	-52,46	-0,282284	-52,46	-0,38995	-52,46	-0,590702	-52,46	-0,789486	-52,46	-1,01923
-52,36	-0,0767899	-52,36	-3,91388e-3	-52,36	-0,104866	-52,36	5,18036e-3	-52,36	-0,0627518	-52,36	-0,056221	-52,3599	-0,272526	-52,36	-0,388069	-52,36	-0,566109	-52,36	-0,77784	-52,36	-1,00947
-52,2599	-0,0872574	-52,2599	-9,6817e-3	-52,2599	-0,108681	-52,2599	-5,65338e-3	-52,26	-0,0803223	-52,2599	-0,0541763	-52,2599	-0,280312	-52,26	-0,413452	-52,26	-0,554382	-52,2599	-0,777748	-52,26	-0,998901
-52,16	-0,0642395	-52,16	9,79614e-3	-52,16	-0,0833435	-52,16	0,0208435	-52,16	-0,0666199	-52,16	-0,0210266	-52,16	-0,247162	-52,16	-0,401703	-52,16	-0,562164	-52,16	-0,766083	-52,16	-0,965302
-52,0599	-0,0484047	-52,06	0,0146408	-52,0599	-0,078434	-52,0599	0,025753	-52,06	-0,0512161	-52,0599	-6,35147e-3	-52,0599	-0,242252	-52,06	-0,408577	-52,06	-0,545601	-52,06	-0,772957	-52,06	-0,96357
-51,96	-0,0357056	-51,96	0,0117798	-51,96	-0,0649414	-51,96	0,0286865	-51,96	-0,0529175	-51,96	-7,32422e-3	-51,96	-0,235413	-51,96	-0,395813	-51,96	-0,546574	-51,96	-0,775818	-51,96	-0,936405
-51,86	-0,0513916	-51,86	5,85938e-3	-51,86	-0,0579834	-51,86	0,0325317	-51,86	-0,0393066	-51,86	-0,0249634	-51,8599	-0,237358	-51,86	-0,378296	-51,86	-0,554382	-51,86	-0,771973	-51,86	-0,937195
-51,7599	-0,0493813	-51,7599	9,82285e-3	-51,7599	-0,0579262	-51,7599	0,0364952	-51,76	-0,0354004	-51,7599	-0,0307655	-51,7599	-0,23737	-51,76	-0,390015	-51,76	-0,550476	-51,7599	-0,779728	-51,76	-0,95282
-51,66	-0,0640564	-51,66	-0,0107117	-51,66	-0,0667419	-51,66	0,0159607	-51,66	-0,0402527	-51,66	-0,066925	-51,66	-0,26297	-51,66	-0,398773	-51,66	-0,565094	-51,66	-0,808075	-51,66	-0,953766
-51,5599	-0,0630569	-51,56	-0,021492	-51,5599	-0,0696487	-51,5599	0,015007	-51,56	-0,0217361	-51,5599	-0,0776443	-51,5599	-0,251045	-51,56	-0,401741	-51,56	-0,566109	-51,56	-0,801277	-51,56	-0,958687
-51,46	-0,0689011	-51,46	-0,025322	-51,46	-0,0872116	-51,46	-0,0181808	-51,46	-0,039238	-51,46	-0,101067	-51,46	-0,256889	-51,46	-0,393852	-51,46	-0,589539	-51,46	-0,789482	-51,46	-0,958679
-51,36	-0,0533524	-51,36	-0,0253983	-51,36	-0,073616	-51,36	-8,49152e-3	-51,36	-0,019783	-51,36	-0,110909	-51,3599	-0,231503	-51,36	-0,393929	-51,36	-0,575874	-51,36	-0,787605	-51,36	-0,946968
-51,2599	-0,0366821	-51,2599	-0,0106812	-51,2599	-0,0569458	-51,2599	-0,0133057	-51,26	-1,22833e-3	-51,2599	-0,100098	-51,2599	-0,22467	-51,26	-0,394905	-51,26	-0,569038	-51,2599	-0,788513	-51,26	-0,953804
-51,16	-0,0318298	-51,16	-3,87573e-3	-51,16	-0,059906	-51,16	-6,50024e-3	-51,16	0,0271301	-51,16	-0,0971985	-51,16	-0,229584	-51,16	-0,376312	-51,16	-0,573883	-51,16	-0,801239	-51,16	-0,954742
-51,0599	-0,0571747	-51,06	-0,025383	-51,0599	-0,0774384	-51,0599	-0,0123138	-51,06	-4,14276e-3	-51,0599	-0,0991058	-51,0599	-0,254929	-51,06	-0,39782	-51,06	-0,589531	-51,06	-0,814934	-51,06	-0,962578
-50,96	-0,0585632	-50,96	-6,37817e-3	-50,96	-0,0729675	-50,96	-0,0137024	-50,96	3,96729e-4	-50,96	-0,106354	-50,96	-0,221161	-50,96	-0,373749	-50,96	-0,564732	-50,96	-0,78891	-50,96	-0,942478
