Cycle: 3  SMARTA2-9C  195 nM_X	Cycle: 3  SMARTA2-9C  195 nM_Y	Cycle: 4  SMARTA2-9C  390 nM_X	Cycle: 4  SMARTA2-9C  390 nM_Y	Cycle: 5  SMARTA2-9C  780 nM_X	Cycle: 5  SMARTA2-9C  780 nM_Y	Cycle: 6  SMARTA2-9C  1560 nM_X	Cycle: 6  SMARTA2-9C  1560 nM_Y	Cycle: 7  SMARTA2-9C  3125 nM_X	Cycle: 7  SMARTA2-9C  3125 nM_Y	Cycle: 8  SMARTA2-9C  6250 nM_X	Cycle: 8  SMARTA2-9C  6250 nM_Y	Cycle: 9  SMARTA2-9C  12500 nM_X	Cycle: 9  SMARTA2-9C  12500 nM_Y	Cycle: 10  SMARTA2-9C  25000 nM_X	Cycle: 10  SMARTA2-9C  25000 nM_Y	Cycle: 11  SMARTA2-9C  50000 nM_X	Cycle: 11  SMARTA2-9C  50000 nM_Y	Cycle: 12  SMARTA2-9C  100000 nM_X	Cycle: 12  SMARTA2-9C  100000 nM_Y
-51,66	-0,209717	-51,66	-0,118164	-51,56	-0,0906181	-51,56	-0,219097	-51,66	-0,199646	-51,66	-0,0767212	-51,56	-0,0877495	-51,66	-0,0853271	-51,66	-0,0963135	-51,66	-0,115723
-51,56	-0,199017	-51,56	-0,103558	-51,46	-0,0949516	-51,46	-0,203899	-51,56	-0,181927	-51,56	-0,0640678	-51,46	-0,0901299	-51,5599	-0,0784607	-51,5599	-0,0757751	-51,5599	-0,0971375
-51,46	-0,205231	-51,46	-0,105865	-51,36	-0,0642395	-51,36	-0,204437	-51,46	-0,16861	-51,46	-0,0644226	-51,36	-0,0769958	-51,46	-0,0769348	-51,46	-0,0469055	-51,46	-0,0917053
-51,36	-0,199982	-51,36	-0,108429	-51,26	-0,0759621	-51,26	-0,2103	-51,36	-0,163361	-51,36	-0,0689392	-51,26	-0,0906715	-51,3599	-0,0794334	-51,36	-0,0455627	-51,3599	-0,111782
-51,2599	-0,205772	-51,26	-0,129917	-51,16	-0,0731812	-51,16	-0,188782	-51,26	-0,153599	-51,2599	-0,0844955	-51,16	-0,0730591	-51,2599	-0,100914	-51,2599	-0,0982285	-51,2599	-0,137169
-51,16	-0,21283	-51,16	-0,12793	-51,06	-0,0749779	-51,06	-0,195644	-51,16	-0,153564	-51,16	-0,0591431	-51,06	-0,0732689	-51,16	-0,098999	-51,16	-0,0943604	-51,16	-0,135254
-51,06	-0,218533	-51,06	-0,139858	-50,96	-0,0759926	-50,96	-0,206425	-51,06	-0,125271	-51,06	-0,0640526	-50,96	-0,0555458	-51,0599	-0,0999374	-51,0599	-0,121849	-51,0599	-0,151817
-50,96	-0,225342	-50,96	-0,15332	-50,86	-0,0632629	-50,86	-0,199554	-50,96	-0,139893	-50,96	-0,0700684	-50,86	-0,0369568	-50,96	-0,083374	-50,96	-0,121704	-50,96	-0,117676
-50,86	-0,21463	-50,86	-0,167999	-50,76	-0,0441284	-50,76	-0,208923	-50,86	-0,154572	-50,86	-0,0679626	-50,76	-0,0568848	-50,8599	-0,0940781	-50,86	-0,118805	-50,8599	-0,131493
-50,7599	-0,218861	-50,76	-0,172302	-50,66	-0,0626526	-50,66	-0,193085	-50,76	-0,158875	-50,7599	-0,0878181	-50,66	-0,0519714	-50,7599	-0,0964241	-50,7599	-0,119129	-50,7599	-0,124866
